"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","172","test_questions_about_important_shows_correct_answer[question_locator1-answer_locator1-\u0425\u043e\u0447\u0443 \u0441\u0440\u0430\u0437\u0443 \u043d\u0435\u0441\u043a\u043e\u043b\u044c\u043a\u043e \u0441\u0430\u043c\u043e\u043a\u0430\u0442\u043e\u0432! \u0422\u0430\u043a \u043c\u043e\u0436\u043d\u043e?-\u041f\u043e\u043a\u0430 \u0447\u0442\u043e \u0443 \u043d\u0430\u0441 \u0442\u0430\u043a: \u043e\u0434\u0438\u043d \u0437\u0430\u043a\u0430\u0437 \u2014 \u043e\u0434\u0438\u043d \u0441\u0430\u043c\u043e\u043a\u0430\u0442. \u0415\u0441\u043b\u0438 \u0445\u043e\u0442\u0438\u0442\u0435 \u043f\u043e\u043a\u0430\u0442\u0430\u0442\u044c\u0441\u044f \u0441 \u0434\u0440\u0443\u0437\u044c\u044f\u043c\u0438, \u043c\u043e\u0436\u0435\u0442\u0435 \u043f\u0440\u043e\u0441\u0442\u043e \u0441\u0434\u0435\u043b\u0430\u0442\u044c \u043d\u0435\u0441\u043a\u043e\u043b\u044c\u043a\u043e \u0437\u0430\u043a\u0430\u0437\u043e\u0432 \u2014 \u043e\u0434\u0438\u043d \u0437\u0430 \u0434\u0440\u0443\u0433\u0438\u043c.]","tests","2026-06-05","passed","2026-06-05","TestPraktikum","test_questions_about_important","",""
"","162","test_questions_about_important_shows_correct_answer[question_locator2-answer_locator2-\u041a\u0430\u043a \u0440\u0430\u0441\u0441\u0447\u0438\u0442\u044b\u0432\u0430\u0435\u0442\u0441\u044f \u0432\u0440\u0435\u043c\u044f \u0430\u0440\u0435\u043d\u0434\u044b?-\u0414\u043e\u043f\u0443\u0441\u0442\u0438\u043c, \u0432\u044b \u043e\u0444\u043e\u0440\u043c\u043b\u044f\u0435\u0442\u0435 \u0437\u0430\u043a\u0430\u0437 \u043d\u0430 8 \u043c\u0430\u044f. \u041c\u044b \u043f\u0440\u0438\u0432\u043e\u0437\u0438\u043c \u0441\u0430\u043c\u043e\u043a\u0430\u0442 8 \u043c\u0430\u044f \u0432 \u0442\u0435\u0447\u0435\u043d\u0438\u0435 \u0434\u043d\u044f. \u041e\u0442\u0441\u0447\u0451\u0442 \u0432\u0440\u0435\u043c\u0435\u043d\u0438 \u0430\u0440\u0435\u043d\u0434\u044b \u043d\u0430\u0447\u0438\u043d\u0430\u0435\u0442\u0441\u044f \u0441 \u043c\u043e\u043c\u0435\u043d\u0442\u0430, \u043a\u043e\u0433\u0434\u0430 \u0432\u044b \u043e\u043f\u043b\u0430\u0442\u0438\u0442\u0435 \u0437\u0430\u043a\u0430\u0437 \u043a\u0443\u0440\u044c\u0435\u0440\u0443. \u0415\u0441\u043b\u0438 \u043c\u044b \u043f\u0440\u0438\u0432\u0435\u0437\u043b\u0438 \u0441\u0430\u043c\u043e\u043a\u0430\u0442 8 \u043c\u0430\u044f \u0432 20:30, \u0441\u0443\u0442\u043e\u0447\u043d\u0430\u044f \u0430\u0440\u0435\u043d\u0434\u0430 \u0437\u0430\u043a\u043e\u043d\u0447\u0438\u0442\u0441\u044f 9 \u043c\u0430\u044f \u0432 20:30.]","tests","2026-06-05","passed","2026-06-05","TestPraktikum","test_questions_about_important","",""
"","151","test_questions_about_important_shows_correct_answer[question_locator4-answer_locator4-\u041c\u043e\u0436\u043d\u043e \u043b\u0438 \u043f\u0440\u043e\u0434\u043b\u0438\u0442\u044c \u0437\u0430\u043a\u0430\u0437 \u0438\u043b\u0438 \u0432\u0435\u0440\u043d\u0443\u0442\u044c \u0441\u0430\u043c\u043e\u043a\u0430\u0442 \u0440\u0430\u043d\u044c\u0448\u0435?-\u041f\u043e\u043a\u0430 \u0447\u0442\u043e \u043d\u0435\u0442! \u041d\u043e \u0435\u0441\u043b\u0438 \u0447\u0442\u043e-\u0442\u043e \u0441\u0440\u043e\u0447\u043d\u043e\u0435 \u2014 \u0432\u0441\u0435\u0433\u0434\u0430 \u043c\u043e\u0436\u043d\u043e \u043f\u043e\u0437\u0432\u043e\u043d\u0438\u0442\u044c \u0432 \u043f\u043e\u0434\u0434\u0435\u0440\u0436\u043a\u0443 \u043f\u043e \u043a\u0440\u0430\u0441\u0438\u0432\u043e\u043c\u0443 \u043d\u043e\u043c\u0435\u0440\u0443 1010.]","tests","2026-06-05","passed","2026-06-05","TestPraktikum","test_questions_about_important","",""
"","143","test_questions_about_important_shows_correct_answer[question_locator7-answer_locator7-\u042f \u0436\u0438\u0437\u0443 \u0437\u0430 \u041c\u041a\u0410\u0414\u043e\u043c, \u043f\u0440\u0438\u0432\u0435\u0437\u0451\u0442\u0435?-\u0414\u0430, \u043e\u0431\u044f\u0437\u0430\u0442\u0435\u043b\u044c\u043d\u043e. \u0412\u0441\u0435\u043c \u0441\u0430\u043c\u043e\u043a\u0430\u0442\u043e\u0432! \u0418 \u041c\u043e\u0441\u043a\u0432\u0435, \u0438 \u041c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u043e\u0439 \u043e\u0431\u043b\u0430\u0441\u0442\u0438.]","tests","2026-06-05","passed","2026-06-05","TestPraktikum","test_questions_about_important","",""
"","688","test_questions_about_important_shows_correct_answer[question_locator0-answer_locator0-\u0421\u043a\u043e\u043b\u044c\u043a\u043e \u044d\u0442\u043e \u0441\u0442\u043e\u0438\u0442? \u0418 \u043a\u0430\u043a \u043e\u043f\u043b\u0430\u0442\u0438\u0442\u044c?-\u0421\u0443\u0442\u043a\u0438 \u2014 400 \u0440\u0443\u0431\u043b\u0435\u0439. \u041e\u043f\u043b\u0430\u0442\u0430 \u043a\u0443\u0440\u044c\u0435\u0440\u0443 \u2014 \u043d\u0430\u043b\u0438\u0447\u043d\u044b\u043c\u0438 \u0438\u043b\u0438 \u043a\u0430\u0440\u0442\u043e\u0439.]","tests","2026-06-05","passed","2026-06-05","TestPraktikum","test_questions_about_important","",""
"","2548","test_order_scooter_flow_success[order_button1-\u041f\u0435\u0442\u0440-\u0421\u0438\u0434\u043e\u0440\u043e\u0432-\u0423\u043b. \u041b\u0435\u043d\u0438\u043d\u0430, \u0434. 22-metro1-+79998887766-11.06.2026-rental_period1-color1- ]","tests","2026-06-05","passed","2026-06-05","TestOrderScooter","test_order_scooter","",""
"","149","test_questions_about_important_shows_correct_answer[question_locator6-answer_locator6-\u041c\u043e\u0436\u043d\u043e \u043b\u0438 \u043e\u0442\u043c\u0435\u043d\u0438\u0442\u044c \u0437\u0430\u043a\u0430\u0437?-\u0414\u0430, \u043f\u043e\u043a\u0430 \u0441\u0430\u043c\u043e\u043a\u0430\u0442 \u043d\u0435 \u043f\u0440\u0438\u0432\u0435\u0437\u043b\u0438. \u0428\u0442\u0440\u0430\u0444\u0430 \u043d\u0435 \u0431\u0443\u0434\u0435\u0442, \u043e\u0431\u044a\u044f\u0441\u043d\u0438\u0442\u0435\u043b\u044c\u043d\u043e\u0439 \u0437\u0430\u043f\u0438\u0441\u043a\u0438 \u0442\u043e\u0436\u0435 \u043d\u0435 \u043f\u043e\u043f\u0440\u043e\u0441\u0438\u043c. \u0412\u0441\u0435 \u0436\u0435 \u0441\u0432\u043e\u0438.]","tests","2026-06-05","passed","2026-06-05","TestPraktikum","test_questions_about_important","",""
"","144","test_questions_about_important_shows_correct_answer[question_locator5-answer_locator5-\u0412\u044b \u043f\u0440\u0438\u0432\u043e\u0437\u0438\u0442\u0435 \u0437\u0430\u0440\u044f\u0434\u043a\u0443 \u0432\u043c\u0435\u0441\u0442\u0435 \u0441 \u0441\u0430\u043c\u043e\u043a\u0430\u0442\u043e\u043c?-\u0421\u0430\u043c\u043e\u043a\u0430\u0442 \u043f\u0440\u0438\u0435\u0437\u0436\u0430\u0435\u0442 \u043a \u0432\u0430\u043c \u0441 \u043f\u043e\u043b\u043d\u043e\u0439 \u0437\u0430\u0440\u044f\u0434\u043a\u043e\u0439. \u042d\u0442\u043e\u0433\u043e \u0445\u0432\u0430\u0442\u0430\u0435\u0442 \u043d\u0430 \u0432\u043e\u0441\u0435\u043c\u044c \u0441\u0443\u0442\u043e\u043a \u2014 \u0434\u0430\u0436\u0435 \u0435\u0441\u043b\u0438 \u0431\u0443\u0434\u0435\u0442\u0435 \u043a\u0430\u0442\u0430\u0442\u044c\u0441\u044f \u0431\u0435\u0437 \u043f\u0435\u0440\u0435\u0434\u044b\u0448\u0435\u043a \u0438 \u0432\u043e \u0441\u043d\u0435. \u0417\u0430\u0440\u044f\u0434\u043a\u0430 \u043d\u0435 \u043f\u043e\u043d\u0430\u0434\u043e\u0431\u0438\u0442\u0441\u044f.]","tests","2026-06-05","passed","2026-06-05","TestPraktikum","test_questions_about_important","",""
"","2564","test_order_scooter_flow_success[order_button0-\u0418\u0432\u0430\u043d-\u0418\u0432\u0430\u043d\u043e\u0432-\u0423\u043b. \u041f\u0443\u0448\u043a\u0438\u043d\u0430, \u0434. 10-metro0-88005553535-30.06.2026-rental_period0-color0-\u041f\u043e\u0437\u0432\u043e\u043d\u0438\u0442\u0435 \u0437\u0430 \u0447\u0430\u0441]","tests","2026-06-05","passed","2026-06-05","TestOrderScooter","test_order_scooter","",""
"","150","test_questions_about_important_shows_correct_answer[question_locator3-answer_locator3-\u041c\u043e\u0436\u043d\u043e \u043b\u0438 \u0437\u0430\u043a\u0430\u0437\u0430\u0442\u044c \u0441\u0430\u043c\u043e\u043a\u0430\u0442 \u043f\u0440\u044f\u043c\u043e \u043d\u0430 \u0441\u0435\u0433\u043e\u0434\u043d\u044f?-\u0422\u043e\u043b\u044c\u043a\u043e \u043d\u0430\u0447\u0438\u043d\u0430\u044f \u0441 \u0437\u0430\u0432\u0442\u0440\u0430\u0448\u043d\u0435\u0433\u043e \u0434\u043d\u044f. \u041d\u043e \u0441\u043a\u043e\u0440\u043e \u0441\u0442\u0430\u043d\u0435\u043c \u0440\u0430\u0441\u0442\u043e\u0440\u043e\u043f\u043d\u0435\u0435.]","tests","2026-06-05","passed","2026-06-05","TestPraktikum","test_questions_about_important","",""
